id,ip_origem,tipo,data,porta,tentativas
1,192.168.1.1,login,2024-01-15,22.0,3.0
2,10.0.0.5,scan,2024-01-16,80.0,1.0
3,,login,2024/01/17,443.0,5.0
4,172.16.0.3,,16-01-2024,22.0,
5,192.168.1.1,brute_force,2024-01-18,22.0,100.0
6,999.999.999.999,scan,2024-01-19,-1.0,2.0
7,10.0.0.8,,nao_e_data,,1.0
8,172.16.0.10,login,2024-01-20,3389.0,4.0
9,192.168.2.50,exfiltration,2024-01-21,443.0,7.0
10,10.0.0.5,scan,2024-01-22,80.0,1.0
10,10.0.0.5,scan,2024-01-22,80.0,1.0
11,,login,2024-01-23,22.0,
12,192.168.3.1,ddos,2024-01-24,65536.0,9.0
